"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",0.5,0.149023211979036,0.0769573463370862,0.0941309652456815,0,0,0,0.0655800873131925,0.039238234047855,0.0650499767810512,0,0.0687367958262277,0.0574828588187098,0.101775807072224,0.0948300931304617,0,0,0.0865055151488029,0.0594603744963418,0,0.0645441366110899,0,0.0816235634043431,0.0752544892167779,0.108683189203322,0.074130336549221,0.065244273906454,0.101168440143526,0.0816201574285983,0,0.0587297946862196,0,0.0683769083955185,0,0.0859010880548463,0.0731089336763511,0,0.0735252609943275,0,0.0541531549981271,0.148429788633361,0,0.0657379548076697,0,0
"2",0.149023211979036,0.5,0.102124322332874,0.113782522044099,0.0761903817645352,0.0833175551009305,0.0973615599191563,0.0854641619418465,0.0764529115611188,0.0849730352641279,0.0773349057449292,0.104068817561558,0.0941944971103192,0.0811020187880982,0.0985379385530376,0.0751682737353264,0.0683653268914562,0.125486000596888,0.080923873105617,0.10667055408226,0.0471645463897046,0.0528524687943631,0.106181620549827,0.126923674299011,0.0934653132278955,0.0571817159587717,0.0624448350080362,0.124335861635189,0.111283003066576,0.0761403189965036,0.0919188722230288,0.0813192198783267,0.0874798730468822,0.0853540185698788,0.11632751760028,0.147949036046691,0.0549631779027579,0,0,0.0805479111229561,0.137142593624898,0,0,0.0803711845828528,0.0893391911853197
"3",0.0769573463370862,0.102124322332874,0.5,0.0983022212013581,0,0.124479464134564,0.120833009582751,0.106630672293784,0.119607823280483,0.106154464660487,0.053491764498152,0.0824801419375401,0.0902808576281046,0.102991308319007,0.074420426967668,0.0670290593223862,0.0880711066204212,0.100465188816401,0.146701910070257,0.102815693770384,0.0657061984221838,0.0984279900238227,0.125472945671102,0.140488847797755,0.0818757387165609,0.0871682845172722,0.102607951044835,0.157251195663344,0.10707870114083,0.0480619278664743,0.0921034792242371,0.10408196173639,0.12019513186986,0.0543592084103713,0.112754693593114,0.124335861635189,0,0.0281858069206577,0.123654293206844,0.0818427425594755,0.132117981262332,0.0252123179259434,0.131450712740583,0.112204407032052,0.099157779704145
"4",0.0941309652456815,0.113782522044099,0.0983022212013581,0.5,0,0.0827200400796134,0.07145431570108,0.0875985391238661,0.112717383129061,0.0852725242017123,0,0.0699807277906667,0.0997490154408406,0.0996904706844448,0.0812945858518525,0.0742177416408281,0.070336530260665,0.102414956536098,0.0932798198591067,0.0969171887825335,0.0398404169335359,0.0892520960240859,0.105837248761164,0.100463749341839,0.0806740918137323,0.0818806679158781,0.0742473098532142,0.0938185231639057,0.132331753595823,0,0.0911722086288586,0.111655215614436,0.0618681186879202,0,0.115649985603633,0.104676532437485,0.0868864535924592,0,0.0822557513693328,0.09418997398863,0.148700202434113,0,0.0906772676131331,0.0673651314156681,0.0874932022294037
"5",0,0.0761903817645352,0,0,0.5,0,0.0640280056985882,0.041614759114717,0.0363544895773955,0,0,0,0.0375288352627662,0.0910516345216598,0.0805730757439302,0,0,0.0558980470876684,0.0339227808273251,0,0,0,0.100649258414187,0.0648335040218501,0,0.0341114950703699,0.0722936372889973,0.0613546944537118,0.0624156620182238,0,0.0849675103649672,0.0406564142467531,0.0477511725396684,0,0.0854232807656715,0.0749839062029491,0,0,0,0,0.144765285149472,0,0,0,0
"6",0,0.0833175551009305,0.124479464134564,0.0827200400796134,0,0.5,0.0989781761482961,0.090184576329297,0.110914185844124,0.0784168747516186,0.101374808623085,0.0830729814486651,0.128604772298425,0.0788137067030998,0.0952948528522988,0.0825954018168766,0.0939921143952554,0.100660748890861,0.0612992488483499,0.0984279900238227,0.076118433914035,0.0941494030982257,0.133826622295235,0.0982658816121474,0.0843189506611937,0.107971704092782,0.119201499835214,0.10707870114083,0.0906497470712615,0.0552838305641545,0.131450712740583,0.098116739850002,0.108683189203322,0,0.139754374410423,0.107176420056426,0.0702694011777534,0,0.0652800481487605,0.0907609693302403,0.112913641211934,0,0.0882743759418171,0.0949681994850514,0.0946185039156694
"7",0,0.0973615599191563,0.120833009582751,0.07145431570108,0.0640280056985882,0.0989781761482961,0.5,0.0608752530426417,0.10415261999773,0.0823566120009824,0.103275498546583,0.116349076613006,0.138784482341528,0.116166187834979,0.0711596594009006,0.0579128114090924,0.0610870108572707,0.120928477160225,0.0809465123206679,0.109578651012925,0.0742185893533392,0.0914724181003207,0.119964394559622,0.136957269077419,0.0890280069258631,0.114431345746098,0.107440913613491,0.117993951895525,0.110894018642851,0,0.0799984275069137,0.119481212944804,0.0984133362502868,0.0452101007895142,0.148173876531427,0.101889188204146,0.106803304059207,0,0.0944131990474295,0.094322939265829,0.144831737644629,0,0.106613928032244,0.117955671494958,0.100268262037743
"8",0.0655800873131925,0.0854641619418465,0.106630672293784,0.0875985391238661,0.041614759114717,0.090184576329297,0.0608752530426417,0.5,0.115685234062424,0.0735317591134717,0.0656607009763042,0.0671447760299159,0.121505999952592,0.0931715318384085,0.0761627967078901,0.0947859566703557,0.101246399133883,0.131993794240587,0.123489771233466,0.106447093141626,0.0983735825042112,0.0835462095576127,0.166170225750055,0.121077839319054,0.067365131415668,0.116553742008046,0.120648708899256,0.126321251569922,0.107799855544639,0.0699692840782412,0.155464340143761,0.114922865001902,0.102404433595059,0.0550815406089708,0.128495563816395,0.115028867216241,0.0842196259584666,0.0533261769442796,0.0686661759725303,0.113434573160303,0.166263288798712,0.034452783782994,0.0663786691171945,0.101183317970466,0.0871428142970827
"9",0.039238234047855,0.0764529115611188,0.119607823280483,0.112717383129061,0.0363544895773955,0.110914185844124,0.10415261999773,0.115685234062424,0.5,0.0907328767814559,0,0.0856961216890941,0.112139894893258,0.13424037752428,0.0955048223792413,0.0896907906488289,0.126894300715994,0.124335861635189,0.111870384947367,0.0947876323479988,0.114703447830963,0.11805337509469,0.128006386850328,0.110990272441579,0.0974003704023192,0.132996297175723,0.132873682961662,0.117932495640334,0.104079462017479,0.0470239730086605,0.157841808972338,0.105015991662142,0.0982125806604628,0.0803985355106497,0.118578556832663,0.126458257897137,0.110004665930108,0.0433394062949501,0.099888554863056,0.0818757387165609,0.179911642404515,0,0.101954664854782,0.0938788123561062,0.0900404780790613
"10",0.0650499767810512,0.0849730352641279,0.106154464660487,0.0852725242017123,0,0.0784168747516186,0.0823566120009824,0.0735317591134717,0.0907328767814559,0.5,0,0.049555179369365,0.103048700863497,0.102800066307518,0,0.0825234697813216,0.0843423275143207,0.0717498525453575,0.0802156720666878,0.080612761010115,0.0940698893601292,0.0792868896865985,0.122483895841202,0.088087567582444,0.0628792860040793,0.0734079366547986,0.0646656510358146,0.0926360622542714,0.0918869425298571,0,0.0885583246480641,0.0859615679312567,0.0885571177765058,0,0.0987982454311694,0.101373854696414,0,0,0.042061224988918,0.0908177403674133,0.157199391084901,0,0.0830713477669144,0.0802132878100507,0
"11",0,0.0773349057449292,0.053491764498152,0,0,0.101374808623085,0.103275498546583,0.0656607009763042,0,0,0.5,0.0703187959879612,0.0916694148208576,0,0.0752448373062286,0,0.0738004150710247,0.116581326668943,0.0611533847869217,0.0912913309456917,0,0,0.0892510560020289,0.0799868008017554,0,0.0859384592393959,0.0751177589497771,0.0900148642845813,0.0992915857442016,0.0827477434270336,0.0630146369135493,0.0942388725846907,0.093452366518076,0,0.116929305255429,0.071648644966008,0,0,0,0.0772688930233565,0.107440913613491,0,0.0755870243708114,0,0
"12",0.0687367958262277,0.104068817561558,0.0824801419375401,0.0699807277906667,0,0.0830729814486651,0.116349076613006,0.0671447760299159,0.0856961216890941,0.049555179369365,0.0703187959879612,0.5,0.116349076613006,0.0986631813368463,0.0669847580413283,0.0680748409131005,0.0701382976539734,0.142633049500751,0.139277048956517,0.110214233112078,0.0604237949849786,0.0607906840013403,0.141514758363134,0.106630672293784,0.0981702002565454,0.101373854696413,0.111184757856817,0.13518742929605,0.1239084849135,0.0315651768454565,0.0963821140575493,0.116581326668943,0.0970952198631013,0.0627667851938346,0.13199952573578,0.126183623193548,0.125406129835659,0.0364281699605549,0.099477315728052,0.100911077025836,0.151613205015327,0,0.108683189203322,0.0551815846357723,0.0829465112247781
"13",0.0574828588187098,0.0941944971103192,0.0902808576281046,0.0997490154408406,0.0375288352627662,0.128604772298425,0.138784482341528,0.121505999952592,0.112139894893258,0.103048700863497,0.0916694148208576,0.116349076613006,0.5,0.105157812529478,0.100463749341839,0.0694142039795148,0.10974558778467,0.14830235441875,0.102595058437827,0.121473658676219,0.109578651012925,0.0779948587513022,0.149971734594467,0.129577027969841,0.107344591218841,0.108064156960254,0.151533265317709,0.122775912400756,0.125466528718304,0.063284868804846,0.133532912103631,0.0821199979465086,0.113016414904799,0.0701900204023432,0.124909613660183,0.130251832318099,0.0752769415101593,0.0417906950538666,0.0884976161577013,0.0919188722230289,0.193607263035792,0.0252683145980553,0.10612440960623,0.102146520129066,0.10222107673145
"14",0.101775807072224,0.0811020187880982,0.102991308319007,0.0996904706844448,0.0910516345216598,0.0788137067030998,0.116166187834979,0.0931715318384085,0.13424037752428,0.102800066307518,0,0.0986631813368463,0.105157812529478,0.5,0.0784705914212772,0.0757869355451042,0.0913011346989373,0.100074497782755,0.0997136802816901,0.11420975919635,0.102607951044835,0.0867005138739515,0.137812602024958,0.122359424980883,0.105837248761164,0.101632435855634,0.109919856325478,0.116986525594944,0.113349058938355,0.0621045642143709,0.124899921903004,0.120928477160225,0.110798415207628,0.0758513567653829,0.123764726495144,0.162000653659794,0.112986542742878,0.058758201191595,0.137888570121856,0.0961753459358481,0.174368511015621,0.0771709190135839,0.127149825218446,0.103640413942623,0.110780615979337
"15",0.0948300931304617,0.0985379385530376,0.074420426967668,0.0812945858518525,0.0805730757439302,0.0952948528522988,0.0711596594009006,0.0761627967078901,0.0955048223792413,0,0.0752448373062286,0.0669847580413283,0.100463749341839,0.0784705914212772,0.5,0.0565527214766426,0.0799717157711541,0.0995494787453673,0.0999476430853095,0.108863935998147,0.070479059410797,0.0943634255861362,0.141411504288135,0.115749252758279,0.0773057122085652,0.0854543374208706,0.0823566120009824,0.115309606594387,0.0859270234671411,0,0.085927023467141,0.0828355655672697,0.0990342815398421,0,0.130850268658856,0.133880608419581,0,0,0.0947450261973937,0.123612038632559,0.129279334435315,0,0.0878248443909249,0.0788465788369059,0.0990038966220678
"16",0,0.0751682737353264,0.0670290593223862,0.0742177416408281,0,0.0825954018168766,0.0579128114090924,0.0947859566703557,0.0896907906488289,0.0825234697813216,0,0.0680748409131005,0.0694142039795148,0.0757869355451042,0.0565527214766426,0.5,0.0868534061416309,0.0918928078725382,0.0718802312684184,0.0377999771136223,0.0682748995400682,0.0777069286145754,0.123898534349549,0.074042028903288,0.0751391336471474,0.0829543747375909,0.0754984938054573,0.0713406471179178,0.0967199448125716,0.0585564511848656,0.117012973947766,0.0648962669115851,0.0722848330083409,0.0575505007906463,0.0727042975945277,0.103027794734932,0.104621435881651,0,0.0674437126556626,0.0552128918384166,0.111058067049185,0,0,0.0963450884649729,0
"17",0,0.0683653268914562,0.0880711066204212,0.070336530260665,0,0.0939921143952554,0.0610870108572707,0.101246399133883,0.126894300715994,0.0843423275143207,0.0738004150710247,0.0701382976539734,0.10974558778467,0.0913011346989373,0.0799717157711541,0.0868534061416309,0.5,0.0904039912386698,0.0795331784667747,0.0866548286870786,0.093102153716223,0.0768426399631911,0.118554243890085,0.0679579102516313,0.0752182395912912,0.0821232246696106,0.104601426551021,0.0901587920444304,0.0698610242451882,0.073413493295607,0.123202636481751,0.0748834459555345,0.0955802733666909,0.0677261268802016,0.094322939265829,0.0927128751662985,0.10240116123722,0,0.0783433138581825,0.0857067893033334,0.167292971627578,0,0.0774131776859349,0.0981106495315663,0.0833861303406901
"18",0.0865055151488029,0.125486000596888,0.100465188816401,0.102414956536098,0.0558980470876684,0.100660748890861,0.120928477160225,0.131993794240587,0.124335861635189,0.0717498525453575,0.116581326668943,0.142633049500751,0.14830235441875,0.100074497782755,0.0995494787453673,0.0918928078725382,0.0904039912386698,0.5,0.145253202672808,0.112444128803656,0.0751674210225731,0.0618681186879202,0.162594028300677,0.157199391084901,0.110740397580081,0.110721759225592,0.114812782834416,0.153189369046485,0.167115111177486,0.0615018281869328,0.107885487890259,0.140488847797755,0.122775912400756,0.0691857914780497,0.174366906469079,0.169279878188993,0.0946522661031449,0.0504692300879857,0.0833052735824942,0.115422284682025,0.161677663131841,0,0.0868401943407728,0.112039857106318,0.091265650299094
"19",0.0594603744963418,0.080923873105617,0.146701910070257,0.0932798198591067,0.0339227808273251,0.0612992488483499,0.0809465123206679,0.123489771233466,0.111870384947367,0.0802156720666878,0.0611533847869217,0.139277048956517,0.102595058437827,0.0997136802816901,0.0999476430853095,0.0718802312684184,0.0795331784667747,0.145253202672808,0.5,0.102800066307518,0.0821183679903816,0.078089329450127,0.133189898566346,0.144546535745862,0.0873386358871394,0.0955363561010209,0.119874932091497,0.15687927098506,0.133773243438879,0.0413489119372426,0.0856541728294925,0.126607451285165,0.104006798905188,0.0362440772511926,0.095713832045489,0.120818407156118,0.0839166658855015,0.0417906950538667,0.116279858667998,0.108593745360854,0.15021961046107,0.0317800826480589,0.114053341162511,0.0677888197867321,0.0945348926115884
"20",0,0.10667055408226,0.102815693770384,0.0969171887825335,0,0.0984279900238227,0.109578651012925,0.106447093141626,0.0947876323479988,0.080612761010115,0.0912913309456917,0.110214233112078,0.121473658676219,0.11420975919635,0.108863935998147,0.0377999771136223,0.0866548286870786,0.112444128803656,0.102800066307518,0.5,0.0690527265571693,0.0614043855828926,0.12889454666654,0.142633049500751,0.110486492478883,0.0756784113326992,0.0940704423167563,0.163637875347277,0.131197307084775,0.0800191917919141,0.094282730566004,0.114686733523318,0.118611455717249,0,0.135798768908584,0.146701910070257,0.0943673035653141,0,0.0949101128093618,0.0998677264322187,0.176665067772076,0,0.0987775641181608,0.0712770094064749,0.105596235243441
"21",0.0645441366110899,0.0471645463897046,0.0657061984221838,0.0398404169335359,0,0.076118433914035,0.0742185893533392,0.0983735825042112,0.114703447830963,0.0940698893601292,0,0.0604237949849786,0.109578651012925,0.102607951044835,0.070479059410797,0.0682748995400682,0.093102153716223,0.0751674210225731,0.0821183679903816,0.0690527265571693,0.5,0.0980191283086318,0.116625537244577,0.0868985420043315,0.0881447115037043,0.0804438317231492,0.125486000596888,0.0931383422991139,0.106447093141626,0.0840047807816793,0.103393912722909,0.073437564212397,0.0840297818793616,0,0.0968801299449533,0.0754480628068916,0.0638788565666506,0,0.0562682769314732,0.0622342019055047,0.14683412942616,0,0.0821183679903816,0.062994283579401,0
"22",0,0.0528524687943631,0.0984279900238227,0.0892520960240859,0,0.0941494030982257,0.0914724181003207,0.0835462095576127,0.11805337509469,0.0792868896865985,0,0.0607906840013403,0.0779948587513022,0.0867005138739515,0.0943634255861362,0.0777069286145754,0.0768426399631911,0.0618681186879202,0.078089329450127,0.0614043855828926,0.0980191283086318,0.5,0.134416040706958,0.069506888190838,0.0884295481954092,0.117062182418558,0.0935639079038169,0.10475215274783,0.088293758106066,0,0.111087183262824,0.0806085956802751,0.0785544689187484,0,0.0842823719019123,0.0956244897283816,0,0,0.0966358073429909,0.0735326234122275,0.152319871942274,0,0.0560332910234052,0.0860939085466959,0
